"날짜","종가","시가","고가","저가","거래량","변동 %"
"2018- 02- 20","2,223.68","2,245.72","2,251.55","2,218.17","7.52M","-1.49%"
"2018- 02- 19","2,257.40","2,282.30","2,288.15","2,235.31","9.20M","0.49%"
"2018- 02- 14","2,246.30","2,253.46","2,266.76","2,235.44","10.30M","0.80%"
"2018- 02- 13","2,228.46","2,206.23","2,251.36","2,204.27","16.13M","2.35%"
"2018- 02- 12","2,177.26","2,172.56","2,187.63","2,159.14","9.89M","1.21%"
"2018- 02- 09","2,151.23","2,155.02","2,173.68","2,145.48","14.98M","-2.67%"
"2018- 02- 08","2,210.35","2,190.36","2,225.75","2,188.43","14.78M","1.38%"
"2018- 02- 07","2,180.22","2,263.51","2,263.79","2,179.70","17.37M","-1.59%"
"2018- 02- 06","2,215.52","2,194.37","2,227.98","2,170.41","19.49M","-1.62%"
"2018- 02- 05","2,252.02","2,262.77","2,275.16","2,242.36","14.68M","-2.48%"
"2018- 02- 02","2,309.21","2,365.36","2,365.36","2,300.07","16.62M","-2.53%"
"2018- 02- 01","2,369.05","2,377.87","2,382.29","2,358.41","14.96M","0.21%"
"2018- 01- 31","2,364.00","2,360.52","2,397.40","2,350.80","19.18M","-0.20%"
"2018- 01- 30","2,368.72","2,395.44","2,404.06","2,368.38","13.11M","-1.88%"
"2018- 01- 29","2,414.15","2,425.41","2,431.31","2,407.75","12.42M","0.18%"
"2018- 01- 26","2,409.81","2,393.86","2,409.81","2,389.00","14.03M","0.96%"
"2018- 01- 25","2,386.82","2,352.93","2,394.78","2,348.20","18.61M","1.88%"
"2018- 01- 24","2,342.87","2,342.26","2,360.19","2,335.43","18.19M","0.00%"
"2018- 01- 23","2,342.78","2,321.59","2,342.78","2,313.29","21.61M","1.13%"
"2018- 01- 22","2,316.50","2,333.15","2,334.71","2,306.29","14.20M","-1.15%"
"2018- 01- 19","2,343.38","2,390.29","2,395.78","2,338.28","14.68M","-1.79%"
"2018- 01- 18","2,386.01","2,402.57","2,419.53","2,381.27","18.69M","0.32%"
"2018- 01- 17","2,378.51","2,384.00","2,391.97","2,369.45","16.87M","-0.27%"
"2018- 01- 16","2,384.89","2,353.26","2,389.37","2,341.27","19.44M","1.44%"
"2018- 01- 15","2,351.00","2,366.83","2,368.97","2,341.77","11.47M","-0.24%"
"2018- 01- 12","2,356.66","2,378.71","2,379.95","2,322.90","17.33M","-0.08%"
"2018- 01- 11","2,358.60","2,364.38","2,376.47","2,352.13","13.18M","-0.62%"
"2018- 01- 10","2,373.38","2,430.03","2,431.55","2,360.15","18.95M","-2.19%"
"2018- 01- 09","2,426.49","2,437.77","2,456.40","2,411.90","13.66M","-0.63%"
"2018- 01- 08","2,441.80","2,447.97","2,454.74","2,422.02","14.19M","0.60%"
"2018- 01- 05","2,427.30","2,401.33","2,429.39","2,388.29","13.78M","1.98%"
"2018- 01- 04","2,380.15","2,406.99","2,410.34","2,377.19","14.68M","-0.31%"
"2018- 01- 03","2,387.45","2,405.11","2,407.51","2,381.62","12.76M","-0.13%"
"2018- 01- 02","2,390.65","2,382.35","2,394.61","2,370.59","8.62M","1.06%"
"2017- 12- 28","2,365.54","2,343.68","2,369.75","2,338.91","8.73M","1.09%"
"2017- 12- 27","2,339.93","2,309.86","2,339.93","2,306.34","12.27M","2.41%"
"2017- 12- 26","2,284.91","2,330.92","2,334.21","2,284.91","16.86M","-1.73%"
"2017- 12- 22","2,325.03","2,313.77","2,330.71","2,306.32","9.98M","0.83%"
"2017- 12- 21","2,305.86","2,372.35","2,372.35","2,305.72","12.61M","-2.74%"
"2017- 12- 20","2,370.85","2,394.86","2,399.88","2,369.49","10.26M","-0.93%"
"2017- 12- 19","2,393.14","2,388.75","2,414.93","2,384.15","14.37M","0.71%"
"2017- 12- 18","2,376.33","2,374.42","2,383.92","2,364.19","10.48M","0.28%"
"2017- 12- 15","2,369.69","2,392.35","2,398.30","2,365.17","11.00M","0.03%"
"2017- 12- 14","2,369.09","2,387.03","2,412.08","2,369.09","19.64M","-0.25%"
