Date,Close,Open,High,Low,Volume
2017-11-09,852.9,852.13,854.57,844.96,17690000
2017-11-08,850.47,853.85,858.89,847.76,14680000
2017-11-07,861.52,862.07,867.14,854.13,17620000
2017-11-06,862.85,881.04,881.75,860.73,13660000
2017-11-03,882.42,881.61,885.95,877.68,11470000
2017-11-02,873.02,879.01,879.24,871.32,18260000
2017-11-01,877.63,866.73,878.36,864.19,20300000
2017-10-31,872.47,874.36,876.28,862.97,17790000
2017-10-30,877.83,885.92,886.25,875.67,14000000
2017-10-27,883.5,885.5,887.35,880.9,14840000
2017-10-26,886.45,895.59,898.57,883.71,16510000
2017-10-25,892.52,879.42,895.27,878.37,20740000
2017-10-24,874.51,864.39,878.58,859.29,13320000
2017-10-23,865.99,873.68,875.73,863.39,14980000
2017-10-20,875.0,873.7,877.92,864.75,19140000
2017-10-19,869.43,864.77,876.19,858.09,13540000
2017-10-18,859.2,862.87,863.1,852.75,12700000
2017-10-17,865.45,877.23,879.38,863.98,11030000
2017-10-16,871.12,882.44,882.61,869.87,13690000
2017-10-13,879.48,880.07,887.81,876.61,16420000
2017-10-12,884.38,869.1,885.99,868.09,26850000
2017-10-11,871.23,867.51,871.45,864.18,17200000
2017-10-10,867.3,864.1,868.09,859.17,21840000
2017-09-29,851.5,851.1,860.32,847.66,12060000
2017-09-28,850.18,837.93,851.09,830.65,12770000
2017-09-27,839.28,845.1,845.99,833.09,13130000
2017-09-26,847.63,849.18,849.77,828.67,14980000
2017-09-25,853.42,870.86,870.86,849.42,11970000
2017-09-22,871.75,864.05,875.18,860.58,15410000
2017-09-21,861.26,858.52,865.95,853.41,14660000
2017-09-20,859.92,860.62,865.21,852.42,12560000
2017-09-19,859.44,865.33,867.27,856.96,13630000
2017-09-18,862.79,845.9,863.7,845.06,20190000
2017-09-15,847.73,833.68,847.73,829.44,15390000
2017-09-14,835.67,825.82,835.7,821.17,16410000
2017-09-13,827.37,833.85,833.85,818.68,13090000
