,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2015-07-13,-0.6556866661191726,-0.0311957510760401,1.750034867376637,0.6566797340985474,0.9567998651470904,0.9562084947495894,1.333396922696891,-0.6043658899007457,down,52.2,1129.04,13.9,10.26,1.42,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-14,-0.6556956798680877,-0.0326545871167296,0.4939727805507732,0.4141639419717201,0.9713347236758904,0.9347327419031822,1.1523148712510616,-0.6353484156126823,down,53.04,1134.82,13.37,9.99,1.39,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-15,-0.6556709750637624,-0.0306200172279501,-0.9113488935115476,1.2178373517552434,1.0645582990675038,0.9279509252148428,1.0988705157896197,-0.6572628850186862,down,51.41,1141.37,13.23,10.09,1.4,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-16,-0.6556544846991031,-0.0307279271350914,-4.085487655549398,1.840983310897272,1.1249531422647592,0.978814550377387,1.794904651034524,-0.6901345891276921,down,50.91,1144.92,12.11,10.39,1.44,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-17,-0.6556452004147498,-0.0310064220262429,0.1541797715290407,2.223788507438273,1.114678500890952,0.9878569726285056,2.0495512858802205,-0.7203614434808009,down,50.89,1145.15,11.95,10.49,1.46,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-20,-0.6556585919189362,-0.0316868447117031,0.6056328255254488,1.961697449579236,1.073830536404842,0.8296145832339252,2.0294310579417947,-0.7082707017395574,down,50.15,1148.11,12.25,10.35,1.44,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-21,-0.6556488895343604,-0.0309727565563819,2.036200868245639,2.3619028823266457,1.0392475971466628,0.6668509827137851,2.258298650741384,-0.6852227252953119,down,50.36,1154.55,12.22,10.34,1.44,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-22,-0.6556586779983938,-0.0312592726734278,0.0272181431545352,2.186813005499653,0.9620624863385526,0.5018267766308652,2.0376049005417807,-0.6772881760276208,down,49.19,1146.86,12.12,10.23,1.42,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-23,-0.6556811324397568,-0.0321822960041273,1.076890080793349,1.7485445560507225,0.90417365323247,0.3684510484268616,1.9206560756496829,-0.6463056503156842,down,48.45,1155.53,12.64,10.12,1.41,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-24,-0.6557024678481712,-0.031484921449293,0.435429479558323,1.2548128536938623,0.8397691938893391,0.2237722924089592,1.5553481871426462,-0.6466834859950982,down,48.14,1160.26,13.74,10.06,1.4,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-27,-0.6557138672277678,-0.0318417631463925,0.7445407820753754,0.963358897236509,0.7736105274823876,0.1276965559908213,1.7150524964038976,-0.6100334250919537,neutral,47.39,1168.2,15.6,10.04,1.39,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-28,-0.6557302346217734,-0.0312463617555859,-1.3769483630724555,0.5087777263440696,0.7019386388748567,0.0350117279168526,1.7219688247577312,-0.5782952280211894,neutral,47.98,1165.03,13.44,10.01,1.39,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
