"날짜","종가","시가","고가","저가","거래량","변동 %"
"2015- 02- 04","931.90","932.96","937.13","929.18","2.60K","0.36%"
"2015- 02- 03","928.52","931.11","932.18","922.68","2.85K","-0.16%"
"2015- 02- 02","930.03","924.45","931.04","924.30","2.34K","0.88%"
"2015- 01- 30","921.92","936.73","938.48","920.20","4.23K","-1.53%"
"2015- 01- 29","936.25","933.30","939.60","929.01","2.63K","0.02%"
"2015- 01- 28","936.06","925.97","937.14","923.76","4.33K","1.08%"
"2015- 01- 27","926.06","927.16","928.92","918.02","4.18K","0.22%"
"2015- 01- 26","924.05","932.06","933.48","920.33","5.92K","-1.54%"
"2015- 01- 23","938.51","956.10","956.18","933.75","1.71K","-0.60%"
"2015- 01- 22","944.22","945.28","950.12","939.51","1.60K","1.06%"
"2015- 01- 21","934.32","934.82","939.94","930.60","1.71K","0.09%"
"2015- 01- 20","933.49","931.09","939.84","930.50","1.57K","0.30%"
"2015- 01- 19","930.66","929.28","935.16","927.24","1.30K","0.98%"
"2015- 01- 16","921.60","924.76","929.50","909.75","1.59K","0.02%"
"2015- 01- 15","921.39","921.71","924.64","914.16","1.52K","-0.87%"
"2015- 01- 14","929.49","935.27","937.06","927.00","1.14K","-0.59%"
"2015- 01- 13","935.01","938.23","940.64","932.05","1.43K","-0.37%"
"2015- 01- 12","938.50","928.04","940.45","926.67","0.94K","0.74%"
"2015- 01- 09","931.58","926.86","934.79","924.65","1.70K","1.49%"
"2015- 01- 08","917.94","906.47","919.04","904.50","1.40K","1.41%"
"2015- 01- 07","905.21","900.10","908.00","897.60","1.32K","0.89%"
"2015- 01- 06","897.23","900.10","907.62","894.76","1.67K","-1.08%"
"2015- 01- 05","907.00","900.99","911.96","890.82","1.64K","-0.44%"
